分数,学校,姓名,院校全称,研究方向,主页,Google Scholar,明确招本科实习,有opening,教授NJU背景,学生NJU背景,是否AP,资深教授,找到CV,关键词匹配,爬取页数,招生证据,NJU证据,错误
2,UW-Madison,Akarsh Prabhakara,University of Wisconsin - Madison,"Robotics, Vision",https://akarsh-prabhakara.github.io,https://scholar.google.com/citations?user=JGr8fywAAAAJ,False,False,False,False,True,True,True,False,2,,,
-3,NTU,Aixin Sun,Nanyang Technological University,"AI, ML, NLP, Web+IR",https://www3.ntu.edu.sg/home/axsun,https://scholar.google.com/citations?user=wyKGVKUAAAAJ,False,False,False,False,False,True,False,False,1,,,
0,Rice,Alan L. Cox,Rice University,Web+IR,https://www.cs.rice.edu/~alc,https://scholar.google.com/citations?user=z28ApZkAAAAJ,False,False,False,False,False,False,False,False,1,,,
2,UT-Austin,Adam R. Klivans,University of Texas at Austin,ML,https://www.cs.utexas.edu/~klivans,https://scholar.google.com/citations?user=UD87zMYAAAAJ,False,False,False,False,True,True,True,False,3,,,
0,VT,Aisling Kelliher,Virginia Tech,ML,http://people.cs.vt.edu/~aislingk,https://scholar.google.com/citations?user=71RtIxoAAAAJ,False,False,False,False,False,False,False,False,1,,,
0,UofT,Alan M. Moses,University of Toronto,ML,http://www.moseslab.csb.utoronto.ca,https://scholar.google.com/citations?user=o5gmOHMAAAAJ,False,False,False,False,False,False,False,False,1,,,
5,Brown,Akshay Narayan,Brown University,ML,https://akshayn.xyz,https://scholar.google.com/citations?user=ygnUXEUAAAAJ,False,False,False,False,True,False,True,False,2,,,
3,GaTech,Alan Ritter,Georgia Institute of Technology,"AI, ML, NLP, Vision, Web+IR",http://aritter.github.io,https://scholar.google.com/citations?user=unXtH3IAAAAJ,False,True,False,False,False,False,False,False,1,...at safely and naturally converse on any topic . I am always looking for strong students to work with. I advise students in both our ML and CS Ph.D. programs. For current Georgia...,,
2,StonyBrook,Akshat Dave,Stony Brook University,"Robotics, Vision",https://www.cs.stonybrook.edu/people/faculty/akshatdave,https://scholar.google.com/citations?user=mMnHusUAAAAJ,False,False,False,False,True,True,False,False,9,,,
-3,CMU,Aarti Singh,Carnegie Mellon University,"AI, ML",http://www.cs.cmu.edu/~aarti,https://scholar.google.com/citations?user=6jP3ZSEAAAAJ,False,False,False,False,False,True,False,False,1,,,
0,JHU,Alan L. Yuille,Johns Hopkins University,"AI, ML, NLP, Robotics, Vision",http://www.cs.jhu.edu/~ayuille,https://scholar.google.com/citations?user=FJ-huxgAAAAJ,False,True,False,False,False,True,False,False,1,...Silicon . Position Openings A Postdoctoral Position is currently available in medical image analysis of CT images...,,
2,UCB,Alane Suhr,Univ. of California - Berkeley,"ML, NLP, Vision",https://www2.eecs.berkeley.edu/Faculty/Homepages/suhr.html,https://scholar.google.com/citations?user=daslsUkAAAAJ,False,False,False,False,True,True,False,False,1,,,
0,UCSD,Albert Chern,Univ. of California - San Diego,Vision,https://page.math.tu-berlin.de/~chern/projects,https://scholar.google.com/citations?user=f3o6lHUAAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
-3,UW-Madison,Alberto Del Pia,University of Wisconsin - Madison,"AI, ML",https://directory.engr.wisc.edu/ie/Faculty/Del-pia_Alberto,https://scholar.google.com/citations?user=P29s_F0AAAAJ,False,False,False,False,False,True,False,False,2,,,
-3,HKUST,Albert C. S. Chung,HKUST,"Robotics, Vision",https://www.cse.ust.hk/~achung,https://scholar.google.com/citations?user=MVf7Lq0AAAAJ,False,False,False,False,False,True,False,False,1,,,
3,Duke,Alberto Bartesaghi,Duke University,Vision,http://cryoem.cs.duke.edu,https://scholar.google.com/citations?user=vpf-lMkAAAAJ,False,True,False,False,False,False,False,False,4,...ted : 01/05/2026 Job description : A postdoctoral associate position is available in the Bartesaghi lab to work in the areas of image process... | ...ted : 01/05/2026 Job description : A postdoctoral associate position is available in the lab of Dr. Bartesaghi to work in the development of...,,
2,VT,Alberto Cano,Virginia Tech,AI,https://canoalberto.github.io,https://scholar.google.com/citations?user=8f_w4HQAAAAJ,False,False,False,False,True,True,True,False,4,,,
2,Princeton,Aleksandra Korolova,Princeton University,"ML, Web+IR",https://www.cs.princeton.edu/people/profile/korolova,https://scholar.google.com/citations?user=oK_XUmsAAAAJ,False,False,False,False,True,True,False,False,8,,,
-3,UCB,Alberto L. Sangiovanni-Vincentelli,Univ. of California - Berkeley,"AI, ML, Robotics, Vision",https://www2.eecs.berkeley.edu/Faculty/Homepages/sangiovanni-vicentelli.html,https://scholar.google.com/citations?user=AhgjQ2QAAAAJ,False,False,False,False,False,True,False,False,3,,,
0,CMU,Alan M. Frieze,Carnegie Mellon University,ML,https://www.math.cmu.edu/~af1p,https://scholar.google.com/citations?user=EqKRQ4YAAAAJ,False,False,False,False,False,False,False,False,1,,,
15,Purdue,Alex Pothen,Purdue University,ML,https://www.cs.purdue.edu/people/faculty/apothen,https://scholar.google.com/citations?user=_Fah5fwAAAAJ,True,False,False,False,True,True,False,False,9,"...scientists, more than sixty Master's students, and several undergraduate researchers. His mentees hold (or have held) appointments at Washingto...",,
3,UofT,Aleksandar Nikolov,University of Toronto,"AI, ML",http://www.cs.toronto.edu/~anikolov,https://scholar.google.com/citations?user=glV_LWsAAAAJ,False,True,False,False,False,False,False,False,2,...found here . You will also find information about joining the group as a graduate student or as a postdoc here ....,,
2,Northwestern,Aleksandar Kuzmanovic,Northwestern University,Web+IR,https://networks.cs.northwestern.edu/website/index-b.html,https://scholar.google.com/citations?user=Q_zh52YAAAAJ,False,False,False,False,True,True,True,False,4,,,
-3,Stanford,Alex Aiken,Stanford University,"ML, NLP, Vision",https://theory.stanford.edu/~aiken,https://scholar.google.com/citations?user=3vKjkoQAAAAJ,False,False,False,False,False,True,False,False,3,,,
0,UofT,Alex Mihailidis,University of Toronto,"AI, Robotics",http://www.iatsl.org/people/amihailidis.htm,https://scholar.google.com/citations?user=FgKrtn0AAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
0,UCLA,Alexander A. Sherstov,Univ. of California - Los Angeles,AI,http://www.cs.ucla.edu/~sherstov,https://scholar.google.com/citations?user=JinbAIQAAAAJ,False,False,False,False,False,False,False,False,1,,,
15,Yale,Alex Wong,Yale University,"AI, ML, Robotics, Vision",https://seas.yale.edu/faculty-research/faculty-directory/alex-wong,https://scholar.google.com/citations?user=9_XuM8AAAAJ,True,False,False,False,True,True,False,False,9,...ale Engineering Undergraduate Alumni who Completed a Summer Internship: 70% Yale Engineering Undergraduate Alumni who Studied Abroad: 11% Yale Engineering Undergradua... | ...: 68% Yale Engineering Undergraduate Alumni who Completed a Summer Internship: 70% Yale Engineering Undergraduate Alumni who Studied Abroad: 11% Yale Engineering Undergradua...,,
3,UCSD,Alex C. Snoeren,Univ. of California - San Diego,"ML, Web+IR",http://cseweb.ucsd.edu/~snoeren,https://scholar.google.com/citations?user=lBzZU1IAAAAJ,False,True,False,False,False,False,True,False,4,...DeepMind Fellowships Undergraduate Undergraduate Home Page Prospective Students Courses and Enrollment Information Degree Programs Academi... | ...d on education and research in CSE. Sign Up Now Information Prospective Students Career Connections Alumni Health & Safety Emergency Action...,,
0,UCI,Alexander C. Berg,Univ. of California - Irvine,"AI, ML, NLP, Robotics, Vision",http://acberg.com,https://scholar.google.com/citations?user=jjEht8wAAAAJ,False,False,False,False,False,False,False,False,1,,,
2,UofT,Alexander Mariakakis,University of Toronto,"ML, Web+IR",https://mariakakis.github.io,https://scholar.google.com/citations?user=YeGQtewAAAAJ,False,False,False,False,True,True,True,False,2,,,
0,Northwestern,Aggelos K. Katsaggelos,Northwestern University,"ML, Vision",http://www.mccormick.northwestern.edu/research-faculty/directory/profiles/katsaggelos-aggelos.html,https://scholar.google.com/citations?user=aucB85kAAAAJ,False,True,False,False,False,True,False,False,9,...e Admissions Submenu Application Checklist Application FAQs Prospective Student Resources Collapse Prospective Student Resources Submenu Fi... | ...ist Application FAQs Prospective Student Resources Collapse Prospective Student Resources Submenu Financial Aid International Students Hous...,,
0,MIT,Alexander Rakhlin,Massachusetts Inst. of Technology,ML,https://www.mit.edu/~rakhlin,https://scholar.google.com/citations?user=fds2VpgAAAAJ,False,False,False,False,False,False,False,False,1,,,
0,UMich,Alexander Rodríguez,University of Michigan,"AI, ML, Web+IR",https://alrodri.engin.umich.edu,https://scholar.google.com/citations?user=ILkESaUAAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
5,Duke,Alexander Tong,Duke University,ML,https://www.alextong.net,https://scholar.google.com/citations?user=CS80pt4AAAAJ,False,False,False,False,True,False,True,False,4,,,
-3,Duke,Alexander J. Hartemink,Duke University,"AI, ML",https://users.cs.duke.edu/~amink,https://scholar.google.com/citations?user=HLRZ3oAAAAAJ,False,False,False,False,False,True,False,False,1,,,
5,UIUC,Alexander G. Schwing,Univ. of Illinois at Urbana-Champaign,"AI, ML, Robotics, Vision, Web+IR",http://www.alexander-schwing.de,https://scholar.google.com/citations?user=3B2c31wAAAAJ,False,True,False,False,True,True,True,False,4,"...y) is the minimum score found in row y for matrix S2. Since we are looking for an upper bound, we need to subtract the minimum loss that w...",,
15,Yale,Alexander K. Lew,Yale University,ML,https://engineering.yale.edu/research-and-faculty/faculty-directory/alex-lew,https://scholar.google.com/citations?user=TiF1WEsAAAAJ,True,False,False,False,True,True,False,False,9,...ale Engineering Undergraduate Alumni who Completed a Summer Internship: 70% Yale Engineering Undergraduate Alumni who Studied Abroad: 11% Yale Engineering Undergradua... | ...: 68% Yale Engineering Undergraduate Alumni who Completed a Summer Internship: 70% Yale Engineering Undergraduate Alumni who Studied Abroad: 11% Yale Engineering Undergradua...,,
5,Duke,Alexander Volfovsky,Duke University,"AI, ML",https://volfovsky.github.io,https://scholar.google.com/citations?user=9qHFzDoAAAAJ,False,True,False,False,True,True,False,False,3,...ed by the National Science Foundation). If interested in joining our group to work on exciting problems in statistical methodology for...,,
2,NYU,Alexander Tuzhilin,New York University,"ML, NLP",https://www.stern.nyu.edu/faculty/bio/alexander-tuzhilin,https://scholar.google.com/citations?user=vs4zs0cAAAAJ,False,False,False,False,True,True,False,False,9,,,
0,UCI,Alexander V. Veidenbaum,Univ. of California - Irvine,"ML, NLP",http://www.ics.uci.edu/~alexv,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,False,False,False,False,0,,,主页获取失败
0,UCI,Alexander Ihler,Univ. of California - Irvine,"AI, ML, Vision",http://www.ics.uci.edu/~ihler,https://scholar.google.com/citations?user=ffdt7gMAAAAJ,False,False,False,False,False,False,False,False,1,,,
-3,UCI,Alexandru Nicolau,Univ. of California - Irvine,"ML, NLP",http://www.ics.uci.edu/~nicolau,https://scholar.google.com/citations?user=oD0ISLcAAAAJ,False,False,False,False,False,True,False,False,1,,,
2,MIT,Alexandre Megretski,Massachusetts Inst. of Technology,"AI, ML",https://lids.mit.edu/people/facultypi/alexandre-megretski,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,True,True,False,False,9,,,
0,JHU,Alexis J. Battle,Johns Hopkins University,ML,https://battlelab.jhu.edu,https://scholar.google.com/citations?user=yPOT9K0AAAAJ,False,False,False,False,False,False,False,False,1,,,
8,UMass,Alexandra Meliou,Univ. of Massachusetts Amherst,"AI, ML",http://people.cs.umass.edu/~ameli,https://scholar.google.com/citations?user=sOzdfjYAAAAJ,False,True,False,False,True,False,False,False,4,...and data and algorithmic bias. Prospective students show more I am actively recruiting strong... | ...and data and algorithmic bias. Prospective students show more I am actively recruiting strong...,,
0,UMich,Alfred O. Hero III,University of Michigan,"ML, Vision",http://web.eecs.umich.edu/~hero,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,False,False,False,False,0,,,主页无内容
2,Columbia,Alexandr Andoni,Columbia University,ML,http://datascience.columbia.edu/alex-andoni,https://scholar.google.com/citations?user=Evgx6UkAAAAJ,False,False,False,False,True,True,False,False,9,,,
15,Duke,Ali Makhdoumi,Duke University,ML,https://cs.duke.edu/people/appointed-faculty/secondary-faculty,https://scholar.google.com/citations?user=Fm5_a0oAAAAJ,True,False,False,False,True,True,False,False,9,...students at universities and colleges across North America. Undergrad Research at Duke Computer Science : Playlist on Duke Comp Sci's YouT... | ...students at universities and colleges across North America. Undergrad Research at Duke Computer Science Playlist on Duke Comp Sci's YouTub...,,
10,GaTech,Alexey Tumanov,Georgia Institute of Technology,"ML, Vision",https://www.cc.gatech.edu/~atumanov,https://scholar.google.com/citations?user=7P-gZioAAAAJ,True,False,False,False,False,True,False,False,5,"...Citadel Securities Undergraduate Students Varun Mehrotra : Undergraduate Research Assistant Aditi Arun : Undergraduate Research Assistant, ML 4 Health... | ...un Mehrotra : Undergraduate Research Assistant Aditi Arun : Undergraduate Research Assistant, ML 4 Health Khang Vu : Undergrad, now EW/Avionics Software...",,
3,UofT,Allan Borodin,University of Toronto,"AI, ML, Web+IR",http://www.cs.toronto.edu/~bor,https://scholar.google.com/citations?user=VIFfuYgAAAAJ,False,True,False,False,False,False,False,False,2,...found here . You will also find information about joining the group as a graduate student or as a postdoc here ....,,
5,UCB,Alexei A. Efros,Univ. of California - Berkeley,"AI, ML, Robotics, Vision",http://www.eecs.berkeley.edu/~efros,https://scholar.google.com/citations?user=d97bGd8AAAAJ,False,False,False,False,True,False,False,False,4,,,
5,Rice,Alireza Fallah,Rice University,ML,http://afallah.com,https://scholar.google.com/citations?user=2qkqvm4AAAAJ,False,False,False,False,True,False,True,False,2,,,
15,UMN,Ali Anwar,University of Minnesota,"AI, ML, NLP, Robotics",https://cse.umn.edu/cs/ali-anwar,https://scholar.google.com/citations?user=o3eOVbgAAAAJ,True,False,False,False,True,True,False,False,9,...Undergraduate Research Overview AI for Earth Summer School Summer Research Experiences for Undergraduates (REU) Program Faculty awards Technical reports People Depa... | ...Undergraduate Research Overview AI for Earth Summer School Summer Research Experiences for Undergraduates (REU) Program Faculty awards Technical reports People Depa...,,
2,VT,Ali Vakilian,Virginia Tech,ML,https://website.cs.vt.edu/people/faculty/ali-vakilian.html,https://scholar.google.com/citations?user=uXZaVaAAAAAJ,False,False,False,False,True,True,False,False,9,,,
-3,UofT,Allan Douglas Jepson,University of Toronto,"AI, ML, Robotics, Vision",http://www.cs.toronto.edu/~jepson,https://scholar.google.com/citations?user=mYVIS8QAAAAJ,False,False,False,False,False,True,False,False,1,,,
0,UCSD,Alon Orlitsky,Univ. of California - San Diego,ML,http://jacobsdev.ucsd.edu/faculty/faculty_bios/index.sfe?fmp_recid=54,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,False,False,False,False,0,,,主页获取失败
5,UCB,Alexandre M. Bayen,Univ. of California - Berkeley,"ML, Robotics",http://www.ce.berkeley.edu/people/faculty/bayen,https://scholar.google.com/citations?user=a5nY-pYAAAAJ,False,True,False,False,True,True,True,False,10,...reers Diversity Finances Study Abroad Student Organizations Prospective Students Admissions Student Learning Initiative Graduate Prospectiv... | ...reers Diversity Finances Study Abroad Student Organizations Prospective Students Admissions Student Learning Initiative Graduate Prospectiv...,,
5,UCB,Alexandros G. Dimakis,Univ. of California - Berkeley,"AI, ML, NLP, Vision, Web+IR",https://people.eecs.berkeley.edu/~alexdimakis,https://scholar.google.com/citations?user=JSFmVQEAAAAJ,False,True,False,False,True,True,True,False,6,....ai a startup working on data curation and data centric AI. We are hiring. DeepSeek-R1 did not release its reasoning data. We are cur... | ....ai a startup working on data curation and data centric AI. We are hiring. DeepSeek-R1 did not release its reasoning data. We are cur...,,
0,UCLA,Alyson K. Fletcher,Univ. of California - Los Angeles,ML,http://www.stat.ucla.edu/~akfletcher,https://scholar.google.com/citations?user=MCClSvsAAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
-3,UCSB,Ambuj K. Singh,Univ. of California - Santa Barbara,"AI, ML, NLP, Web+IR",https://www.cs.ucsb.edu/~ambuj,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,False,True,False,False,1,,,
0,UT-Austin,Aloysius K. Mok,University of Texas at Austin,Robotics,https://www.cs.utexas.edu/users/mok,https://scholar.google.com/citations?user=M6urChQAAAAJ,False,False,False,False,False,False,False,False,2,,,
5,UMich,Ambuj Tewari,University of Michigan,"AI, ML",https://ambujtewari.github.io,https://scholar.google.com/citations?user=ttbl4FsAAAAJ,False,False,False,False,True,False,False,False,2,,,
0,UofT,Alán Aspuru-Guzik,University of Toronto,"ML, Robotics, Vision",http://matter.toronto.edu/about-us,https://scholar.google.com/citations?user=Ag_6KEgAAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
5,NYU,Allen Liu,New York University,ML,https://aliu42.github.io,https://scholar.google.com/citations?user=GNYqvgQAAAAJ,False,False,False,False,True,False,True,False,3,,,
-3,Northwestern,Alok N. Choudhary,Northwestern University,"AI, ML, NLP, Vision",http://www.eecs.northwestern.edu/~choudhar,https://scholar.google.com/citations?user=6nvFl5sAAAAJ,False,False,False,False,False,True,False,False,1,,,
5,StonyBrook,Amir Rahmati,Stony Brook University,"ML, Vision, Web+IR",https://amir.rahmati.com,https://scholar.google.com/citations?user=_Y_YRLAAAAAJ,False,True,False,False,True,True,False,False,4,...incorporate security in their design. Prospective Students I am looking for students with diverse backgrounds and expertise to work on... | ...incorporate security in their design. Prospective Students I am looking for students with diverse backgrounds and expertise to work on...,,
0,JHU,Amitabh Basu,Johns Hopkins University,ML,https://www.ams.jhu.edu/~abasu9,https://scholar.google.com/citations?user=jV2sAB0AAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
